ENT,Entidad,MUN,Municipio,Alf,Asi,EBC,Der,Pis,San,Agu,Dre,Ele,Lav,Ref,Ing
9,Distrito Federal,5,Gustavo A. Madero,0.982359649,0.976641629,0.768147517,0.797349432,0.99759413,0.9938712,0.996273985,0.998642842,0.998775474,0.809263835,0.936096383,16538.43039
9,Distrito Federal,6,Iztacalco,0.991188534,0.986599006,0.811346937,0.788578497,0.998982909,0.993325342,0.99921902,0.999673078,0.99953686,0.840888865,0.963212191,19380.2815
9,Distrito Federal,7,Iztapalapa,0.981895991,0.97782348,0.752277904,0.763158961,0.994472507,0.993059858,0.991471637,0.999168555,0.99798193,0.781479366,0.916813145,14864.78496
9,Distrito Federal,8,La Magdalena Contreras,0.98133194,0.976205547,0.743044251,0.807451672,0.989681135,0.988031317,0.991990881,0.997960224,0.992740799,0.815805261,0.915139335,20108.95754
9,Distrito Federal,10,Álvaro Obregón,0.983854213,0.976726758,0.763076513,0.802632793,0.997802024,0.991408335,0.995115091,0.999110565,0.996852051,0.848279106,0.938512548,26341.26545
9,Distrito Federal,11,Tláhuac,0.980848143,0.981223512,0.758557657,0.836649336,0.992968097,0.992460531,0.989954425,0.997007476,0.998276391,0.763844389,0.90159566,12186.66301
9,Distrito Federal,12,Tlalpan,0.982641348,0.982888364,0.784010954,0.764693928,0.993445118,0.98801333,0.975643549,0.99667795,0.998467554,0.825038705,0.919000761,16041.51401
9,Distrito Federal,13,Xochimilco,0.981164567,0.973830049,0.754899111,0.766149382,0.983884205,0.974063642,0.935089159,0.98972245,0.994292323,0.742706857,0.874365814,12099.50423
9,Distrito Federal,14,Benito Juárez,0.993309977,0.983374516,0.908916388,0.820009264,0.999636373,0.997511034,0.999924767,0.999699067,0.999711606,0.873846424,0.976759204,34612.69489
9,Distrito Federal,15,Cuauhtémoc,0.99156139,0.972186792,0.830562157,0.761942286,0.998274044,0.995535952,0.998343295,0.999840189,0.999611127,0.823638146,0.956472869,17812.63985
9,Distrito Federal,16,Miguel Hidalgo,0.993037047,0.975002097,0.870104454,0.823955275,0.999585685,0.997076343,0.999679492,0.999874924,0.999992183,0.873821548,0.975023843,87435.02844
